Country,discipline,Time_Interval,Papers
Argentina,Biology,2003-2007,3977.1842915856
Argentina,Biology,2008-2012,6215.171894147254
Argentina,Biology,2013-2017,7195.951295134605
Argentina,Biomedical Research,1973-1977,984.4016806722676
Argentina,Biomedical Research,1978-1982,869.1222222222218
Argentina,Biomedical Research,1983-1987,1293.5147297147269
Argentina,Biomedical Research,1988-1992,1294.6638888888854
Argentina,Biomedical Research,1993-1997,1759.0908765211354
Argentina,Biomedical Research,1998-2002,2404.1532789184034
Argentina,Biomedical Research,2003-2007,2684.6649203393895
Argentina,Biomedical Research,2008-2012,3870.967232822003
Argentina,Biomedical Research,2013-2017,4284.370348256477
Argentina,Chemistry,1973-1977,515.4166666666664
Argentina,Chemistry,1978-1982,704.5666666666662
Argentina,Chemistry,1983-1987,1146.3333333333326
Argentina,Chemistry,1988-1992,1259.4333333333295
Argentina,Chemistry,1993-1997,1691.1539682539617
Argentina,Chemistry,1998-2002,2200.436111111105
Argentina,Chemistry,2003-2007,2208.3297619047567
Argentina,Chemistry,2008-2012,2564.0567821067784
Argentina,Chemistry,2013-2017,2700.0749269657554
Argentina,Clinical Medicine,1973-1977,1649.5595238095227
Argentina,Clinical Medicine,1978-1982,2081.092857142855
Argentina,Clinical Medicine,1983-1987,2564.519184981681
Argentina,Clinical Medicine,1988-1992,2465.8748731230885
Argentina,Clinical Medicine,1993-1997,2801.8384529524583
Argentina,Clinical Medicine,1998-2002,4123.96000165948
Argentina,Clinical Medicine,2003-2007,4164.489299854406
Argentina,Clinical Medicine,2008-2012,5550.873293803229
Argentina,Clinical Medicine,2013-2017,5768.381557818036
Argentina,Earth and Space,1973-1977,107.86666666666646
Argentina,Earth and Space,1978-1982,148.51666666666628
Argentina,Earth and Space,1983-1987,280.78333333333273
Argentina,Earth and Space,1988-1992,462.7591269841262
Argentina,Earth and Space,1993-1997,652.2133266733254
Argentina,Earth and Space,1998-2002,1243.971988428237
Argentina,Earth and Space,2003-2007,1707.4983963343193
Argentina,Earth and Space,2008-2012,2632.5927763175564
Argentina,Earth and Space,2013-2017,3314.2344775532083
Argentina,Engineering and Technology,1973-1977,119.3333333333331
Argentina,Engineering and Technology,1978-1982,250.3333333333333
Argentina,Engineering and Technology,1983-1987,404.3333333333331
Argentina,Engineering and Technology,1988-1992,495.49999999999926
Argentina,Engineering and Technology,1993-1997,722.3095238095226
Argentina,Engineering and Technology,1998-2002,1241.8409090909072
Argentina,Engineering and Technology,2003-2007,1601.4909451659423
Argentina,Engineering and Technology,2008-2012,2218.9814356195952
Argentina,Engineering and Technology,2013-2017,2910.1851474129203
Argentina,Health,1973-1977,5.0
Argentina,Health,1978-1982,2.0
Argentina,Health,1983-1987,5.5
Argentina,Health,1988-1992,10.416666666666666
Argentina,Health,1993-1997,29.53333333333333
Argentina,Health,1998-2002,39.30252525252524
Argentina,Health,2003-2007,84.9653651903651
Argentina,Health,2008-2012,199.7744847472786
Argentina,Health,2013-2017,256.99062891556196
Argentina,Humanities,1973-1977,20.5
Argentina,Humanities,1978-1982,43.66666666666666
Argentina,Humanities,1983-1987,94.33333333333333
Argentina,Humanities,1988-1992,105.83333333333331
Argentina,Humanities,1993-1997,121.0
Argentina,Humanities,1998-2002,164.66666666666666
Argentina,Humanities,2003-2007,200.66666666666663
Argentina,Humanities,2008-2012,557.9499999999994
Argentina,Humanities,2013-2017,835.3904761904754
Argentina,Mathematics,1973-1977,44.24999999999999
Argentina,Mathematics,1978-1982,42.24999999999999
Argentina,Mathematics,1983-1987,112.16666666666652
Argentina,Mathematics,1988-1992,145.34999999999954
Argentina,Mathematics,1993-1997,221.09999999999945
Argentina,Mathematics,1998-2002,398.316666666666
Argentina,Mathematics,2003-2007,548.9595238095231
Argentina,Mathematics,2008-2012,893.628795721184
Argentina,Mathematics,2013-2017,931.7952380952348
Argentina,Physics,1973-1977,292.71666666666584
Argentina,Physics,1978-1982,469.75833333333253
Argentina,Physics,1983-1987,1013.0738095238082
Argentina,Physics,1988-1992,1380.1827928884509
Argentina,Physics,1993-1997,1845.898437269607
Argentina,Physics,1998-2002,2412.957931873183
Argentina,Physics,2003-2007,2354.1479511857847
Argentina,Physics,2008-2012,2343.6577546140297
Argentina,Physics,2013-2017,2223.867734694864
Argentina,Professional Fields,1973-1977,13.58333333333333
Argentina,Professional Fields,1978-1982,14.0
Argentina,Professional Fields,1983-1987,13.5
Argentina,Professional Fields,1988-1992,35.766666666666666
Argentina,Professional Fields,1993-1997,28.333333333333325
Argentina,Professional Fields,1998-2002,51.94999999999998
Argentina,Professional Fields,2003-2007,58.39999999999998
Argentina,Professional Fields,2008-2012,217.0997405372401
Argentina,Professional Fields,2013-2017,238.81300545859295
Argentina,Psychology,1973-1977,97.83333333333333
Argentina,Psychology,1978-1982,55.83333333333332
Argentina,Psychology,1983-1987,53.66666666666666
Argentina,Psychology,1988-1992,83.37499999999979
Argentina,Psychology,1993-1997,71.11666666666665
Argentina,Psychology,1998-2002,93.19999999999986
Argentina,Psychology,2003-2007,121.66365787421678
Argentina,Psychology,2008-2012,285.100439725439
Argentina,Psychology,2013-2017,395.720156813728
Argentina,Social Sciences,1973-1977,71.16666666666666
Argentina,Social Sciences,1978-1982,120.4999999999999
Argentina,Social Sciences,1983-1987,144.9166666666666
Argentina,Social Sciences,1988-1992,131.9166666666665
Argentina,Social Sciences,1993-1997,142.54166666666637
Argentina,Social Sciences,1998-2002,212.11233766233724
Argentina,Social Sciences,2003-2007,286.9396825396818
Argentina,Social Sciences,2008-2012,860.8170995670985
Argentina,Social Sciences,2013-2017,1238.196233713244
Armenia,Arts,2003-2007,2.0
Armenia,Arts,2008-2012,1.5
Armenia,Arts,2013-2017,0.5
Armenia,Biology,1988-1992,1.66666666666666
Armenia,Biology,1993-1997,28.833333333333332
Armenia,Biology,1998-2002,20.249999999999996
Armenia,Biology,2003-2007,17.891666666666655
Armenia,Biology,2008-2012,23.174242424242387
Armenia,Biology,2013-2017,35.272294375958985
Armenia,Biomedical Research,1988-1992,9.666666666666655
Armenia,Biomedical Research,1993-1997,132.36666666666648
Armenia,Biomedical Research,1998-2002,92.41666666666661
Armenia,Biomedical Research,2003-2007,67.25335784488703
Armenia,Biomedical Research,2008-2012,102.13752303503378
Armenia,Biomedical Research,2013-2017,105.95131822525045
Armenia,Chemistry,1973-1977,1.0
Armenia,Chemistry,1988-1992,44.33333333333333
Armenia,Chemistry,1993-1997,138.18333333333328
Armenia,Chemistry,1998-2002,171.1166666666664
Armenia,Chemistry,2003-2007,256.6833333333328
Armenia,Chemistry,2008-2012,239.3357142857138
Armenia,Chemistry,2013-2017,279.1158730158721
Armenia,Clinical Medicine,1973-1977,0.5
Armenia,Clinical Medicine,1988-1992,34.166666666666664
Armenia,Clinical Medicine,1993-1997,74.36605625758546
Armenia,Clinical Medicine,1998-2002,79.4928571428571
Armenia,Clinical Medicine,2003-2007,67.72721861471858
Armenia,Clinical Medicine,2008-2012,150.07330699902604
Armenia,Clinical Medicine,2013-2017,128.40494697987987
Armenia,Earth and Space,1988-1992,4.0
Armenia,Earth and Space,1993-1997,53.08293650793642
Armenia,Earth and Space,1998-2002,94.51332972582958
Armenia,Earth and Space,2003-2007,161.24398282087196
Armenia,Earth and Space,2008-2012,153.36224445137196
Armenia,Earth and Space,2013-2017,135.58447599987386
Armenia,Engineering and Technology,1988-1992,1.0
Armenia,Engineering and Technology,1993-1997,60.24999999999999
Armenia,Engineering and Technology,1998-2002,66.40833333333332
Armenia,Engineering and Technology,2003-2007,84.55079365079361
Armenia,Engineering and Technology,2008-2012,133.34981083827887
Armenia,Engineering and Technology,2013-2017,108.32570209420953
Armenia,Health,1993-1997,0.5
Armenia,Health,1998-2002,0.833333333333333
Armenia,Health,2003-2007,2.2777777777777777
Armenia,Health,2008-2012,5.520970695970695
Armenia,Health,2013-2017,12.077380952380931
Armenia,Humanities,1993-1997,1.0
Armenia,Humanities,2003-2007,1.0
Armenia,Humanities,2008-2012,26.0
