Country,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Czechoslovakia,0.6097154097824269,0.5800370070869514,0.5935319411473864,0.6538515967398932,0.588769115978562,,,,
Denmark,0.6445815516357694,0.6799680831412538,0.692953190625551,0.7211728172689171,0.7491134354589328,0.7576707237639153,0.8106977857745032,0.8170163720523544,0.8017079109669445
Djibouti,,0.19311899181134318,0.16164351691018486,0.22123298233886557,0.13429049474258192,0.09719413958784373,0.2408029135150933,0.2941484713659287,0.29960502813694034
Dominican Republic,0.30463230663318797,0.3705654576600088,0.4214696810824018,0.4962170826141692,0.452070212496272,0.3862327165620708,0.284434568725778,0.3884269605975966,0.512789634711039
Ecuador,0.3031251770828227,0.46385342350653447,0.3996996865933833,0.5119244883191731,0.3551571577967447,0.43637887411740195,0.4153896667897461,0.4998890017221972,0.6402869846642255
Egypt,0.46171971714797133,0.4817777691703753,0.4577260062354739,0.4224287181502072,0.45169636596620044,0.5015994721086042,0.514587573970547,0.5968922929368212,0.622776634463344
El Salvador,0.18881531098448645,0.38014935130573513,0.1831913162544211,0.2684982873668462,0.38920025456881646,0.3442375275579924,0.349737500713762,0.4301990314214891,0.43507966585961466
Equatorial Guinea,,,,0.10686792141509016,0.23645130349449528,0.15364298157852352,0.16402625179143382,0.17848804001164553,0.3272903919431547
Eritrea,,,,,0.27123442236048667,0.4175596793166706,0.4549479004059689,0.5459905149029673,0.46699975255517123
Estonia,,,0.13673659868911692,0.5099884852914833,0.6242124865588714,0.6950575139172841,0.7209022631758071,0.6739823544672592,0.592134954775381
Ethiopia,0.5950129260099296,0.42444071759555513,0.4175362707452427,0.4332295450642205,0.37436486439527583,0.41481254431297543,0.4227914052354974,0.41867117210247906,0.4292086249222966
Fiji,0.41409075546354146,0.5024917166756319,0.4558641306237,0.38868505971811573,0.4244807965144043,0.3987888725682539,0.4588682650727044,0.4687592150200578,0.4808899348148219
Finland,0.6446118476534637,0.7071084334809303,0.7309905659478658,0.7745849643236113,0.7721092322417928,0.797920793262501,0.8417439256065089,0.8579181462753647,0.8341833150967763
France,0.669846906499999,0.7199805136313631,0.752226842802376,0.7662443692867815,0.7456153744981301,0.7460911581533001,0.7605661233084553,0.8012239233153429,0.8187338184473719
French-Guiana,0.2003582504046959,0.17087712095681318,0.18923628901863476,0.20832732198601545,0.3013651326131086,0.3102896117561402,0.4251267687912702,0.3029721487095348,0.3739680183652959
French-Polynesia,0.27515595024615114,0.21679626292165488,0.2619869177874191,0.30711396851362616,0.2444300063862921,0.31581326943610477,0.37781410570997775,0.3826942718311397,0.3573014500287507
Gabon,0.24590612637079545,0.2827794401677183,0.34172976292586854,0.4450982312569428,0.40632699597698496,0.35915940588474693,0.5268550640904865,0.48533265639938294,0.5087664622110739
Gambia,0.18077456951508608,0.20542030028767488,0.10897332194355758,0.0714285714285714,0.2786250714816967,0.3164181863566664,0.2645453217021567,0.3130369287707191,0.2959003861285735
Georgia,0.09111531001455153,,,0.3384708949215669,0.41210014483317414,0.4106960335735188,0.38679382526362993,0.4094444606263389,0.5188117480441667
Germany,0.7342262766349577,0.7836666775322849,0.7978744923281729,0.8082385859633616,0.8020113477512454,0.8380279880357716,0.8674188534210008,0.8848357058250051,0.8910310465535114
Gilbert & Ellice Islands,,0.0714285714285714,,,,,,,
Greece,0.692839134045133,0.6027255875733781,0.6032080413258538,0.627940400264195,0.6740593507634738,0.714292318386502,0.7710208852168636,0.8137267496126068,0.8476200653865074
Grenada,,,,0.0714285714285714,0.12693060806049739,0.18512956993143292,0.28386572912702923,0.2769065489931867,0.3838826495103701
Guadeloupe,0.08071657915301222,0.2288998129571349,0.20396196381532128,0.2805920528039477,0.3242466324410721,0.39860155409416664,0.3940612861420212,0.3382835758926733,0.585196465433953
Guatemala,0.3829077232921102,0.4453201121046617,0.35661995948396374,0.4018169934255502,0.3852383779752452,0.3550114290462246,0.31952547167143663,0.39201036499399344,0.3432222511834916
Guinea,0.19522639147588927,0.12674840246718766,0.21471264225382247,0.29368087004580423,0.2259707604960156,0.37571552799685415,0.30350039850449895,0.5659149782019592,0.29325887442036225
Guinea-Bissau,,,0.13890859369901598,0.13102136545200127,0.292469165994083,0.20632532088276967,0.2030708449613633,0.30101525445131194,0.24883826224948413
Guyana,0.20791530510087441,0.2961634989893567,0.28187256729799615,0.3040575521954777,0.26188121501369144,0.37638995499972894,0.3473333033256877,0.5318451087401184,0.4800583839784601
Haiti,0.15425340364543405,0.1914124544443191,0.3017077133825661,0.35114474296726017,0.22420381073584994,0.2263039034219203,0.20456639143936595,0.2746992200687066,0.34912233896634426
Hong-Kong,0.7552173491336993,0.7792819510535364,0.7709765740679075,0.7512749591447171,0.7325318878545375,0.725211972474405,,,
Hungary,0.5809681889172074,0.5794163790658227,0.6038888352119897,0.6352129309488288,0.6478570756591542,0.6279689420794384,0.7086555633912386,0.7477788185047423,0.8093972370878963
Iceland,0.3569886963043253,0.4155271339970137,0.5046414593291566,0.6091051769552556,0.7097400877390098,0.6729312900741908,0.6500249706101298,0.7051175785002918,0.6974469062681088
India,0.5854748981406408,0.5676288098459676,0.5717370172873713,0.573190297542398,0.5576783133968024,0.5518259776108917,0.551891635854118,0.5622856662178222,0.5562683712303216
Indonesia,0.4798329223369231,0.4910274828032355,0.5069133149586548,0.496899958431966,0.480201051075426,0.5666753024974622,0.6192080450535253,0.6816544026550146,0.7018374427620618
Iran,0.694416436680044,0.689995867515308,0.4743948452307757,0.5701923069004388,0.5179565178621843,0.4531014106828881,0.5250607185411684,0.5801189871120097,0.5735013855919269
Iraq,0.4951529370017982,0.5081333161604245,0.4415103180662976,0.41860280036757946,0.5188669498286995,0.366265961508094,0.6053391141200561,0.5965152988234883,0.5321615714745658
Ireland,0.6821582892085908,0.646542175160979,0.6840164909603048,0.774720090434953,0.8173625674950101,0.8009696018661652,0.8395451915128933,0.8309278255474934,0.7840965043415072
Israel,0.8240797501199337,0.8378883150629653,0.8457877817130052,0.8421875791734896,0.8357115232709709,0.85129248894224,0.8408864899704129,0.7997321632522743,0.7649916799394698
Italy,0.6080306202955477,0.6535486621037365,0.6697643412300514,0.6838570529907051,0.7160666771608161,0.7282682418063142,0.761259205886383,0.8356430068133791,0.8616848879568686
Ivory Coast,0.33224582368289934,0.3251461323101805,0.4193935116179197,0.3546431233003331,0.516452231182668,0.45472700982175573,0.5983227251224377,0.5280279367656204,0.5601771052342799
Jamaica,0.5048384036251214,0.5346471120739733,0.5438024673784446,0.5814432885848317,0.6071333601653447,0.5871085206768852,0.6383091968296193,0.5761818922467744,0.5961778777590718
Japan,0.5364156278330653,0.5664254996086946,0.5478275309176399,0.5352118555466471,0.5401669400193843,0.5506161480210433,0.5849492977512118,0.6321533534400967,0.6433629668082731
Jordan,0.45521855098170827,0.7415978436928223,0.6648816478752062,0.6813851491942446,0.6507753975716372,0.652324720565698,0.6370737237568971,0.7427832115478767,0.7284653095566458
Kazakhstan,,,,0.31976335822992163,0.40812202193994673,0.43481452251517705,0.400279170037976,0.48381623441034094,0.5938071515176184
Kenya,0.4360660534905244,0.5303957316329245,0.4771800373104548,0.4519340289391822,0.3882030796243774,0.4428589797268594,0.4519626540066519,0.47068292546411994,0.49699815896608723
Kiribati,,,0.10900701303525118,0.0714285714285714,0.0714285714285714,,0.13491866179872225,0.0714285714285714,0.35632588159858003
Kuwait,0.5270874560271728,0.6030090482322088,0.5265544751052661,0.5967340803110605,0.5901286816621483,0.6206787649190231,0.6830859770862662,0.7454630106222855,0.7399856014348903
Kyrgyzstan,,,,0.30522477394519754,0.5668516879668761,0.31859555643447013,0.4110094969730981,0.6249310580268591,0.5690573029911904
Laos,0.0714285714285714,0.0714285714285714,0.14237993624637446,0.19351587081571942,0.22949221762164618,0.2138819198658043,0.29049410774634077,0.4225649422597836,0.4160349558648405
Latvia,,,,0.2602934274529254,0.47136793841114843,0.49886704858816044,0.5450794584064254,0.6234313866571819,0.7121869844560202
