Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Guatemala,0.0,3.6046709001093675,1.5647249904749458,0.09727692733923626,1.1576805404070742,0.08034104766641667,0.08125553396633212,0.2766078216246319,0.9478333344247358,0.0,0.0,0.41957124736037266,2.123301934794045,2.1080303680662196
Guinea,0.0,2.079888477602843,0.0,0.0,2.9496793650657493,0.0,0.0,0.0,0.0,2.010435492089905,0.0,0.0,0.0,0.0
Guyana,0.0,5.244657056177538,0.1959975391154906,0.17431195437152316,0.13838001959567708,0.0,0.3494471624444936,0.0,1.3587491748449827,0.530531588190392,0.0,1.3533045813297726,0.0,10.954490646554426
Haiti,0.0,1.816914072388691,0.0,0.0,3.0276593942571424,0.0,0.0,6.6452303945104845,0.0,0.0,0.0,0.0,0.0,0.0
Hong-Kong,0.7796120952053516,1.3387316600399661,0.799832244394412,0.9047951998091147,1.0750773613281392,0.4603647667135751,0.8958143128622458,0.8515327267485092,1.3467183065712582,2.2039588283213996,0.6765006233017762,0.5795835463284152,0.841001612503366,2.093846519920248
Hungary,0.03822509713904403,0.9104097142697959,1.1040765010708247,2.0633724084764427,0.9859371356034122,0.18932930883285293,1.1155711083225264,0.16700572706462732,0.7059593040326452,1.1200901934346015,0.554062498604646,0.08931218576275493,0.1386200614191194,0.7188238308880106
Iceland,0.0,0.4742044113703475,1.0763562205382964,0.13554207124634124,1.5158484769073488,5.86670755759985,0.33965536356682857,0.0,0.4402252992505049,2.234551166218656,0.15904376554030805,0.0,1.2634293319945846,0.7343128790999437
India,0.07789927145476107,1.6533646987894013,1.1970476078629613,1.8042710119837062,0.4774697472486711,0.834064958419521,1.0918542848414439,0.08532802988584288,0.3315205051090812,0.7600878386670055,1.4105588002348861,0.18027524955421062,0.2877926883498486,0.5313641955861167
Indonesia,2.675213237470849,2.3967723215302423,0.6235353608344222,0.1053954717795567,1.235902195579955,2.6113846891575716,0.4621940602922643,0.4495394641173778,1.0269376735318838,0.2673158936654979,0.05152918127370251,0.852352224666111,0.36840885254647604,4.69481182689638
Iran,0.26806945255102743,1.7530747143823213,0.3955865777885998,0.7357595473566653,1.4464153385318346,1.2994836213980623,1.5033705746967772,1.126151332145358,0.44020120712184807,1.093776373038281,0.4520106912612464,0.6680949229132522,0.29533095316305497,0.8773128273961609
Iraq,0.0,2.3853739353678076,0.5131843963100251,1.5839767212508498,1.1693639823848443,0.6916147682459259,1.0670142364717363,0.6538140167626938,0.2800475398535462,0.3401881939541447,0.7569392392668368,0.08264455458502432,0.0,0.13840893683459138
Ireland,0.7517348136101628,1.7974202268538986,0.7962459022198123,0.7309423786492055,1.4149071273012819,0.4772713210376122,0.36214244520861105,0.4631754291444702,1.6940095228121577,1.3875549282860844,0.7274404860879068,0.30515468079346936,0.27606099453782507,1.435121296468384
Israel,0.4242263003951657,1.1183639642906382,1.0837794514754844,0.7103992062464608,1.0693156091852554,0.9142985272343798,0.8018040843526009,0.4295465780806331,0.923503055524014,1.5712217570490115,1.129667274481171,0.7743332311090094,0.812335328908917,1.2197108488716502
