discipline,Time_Interval,Papers
Marine Biology & Hydrobiology,1983-1987,23249.0
Materials Science,1983-1987,31107.0
Mechanical Engineering,1983-1987,25181.0
Metals & Metallurgy,1983-1987,34133.0
Meteorology & Atmospheric Science,1983-1987,8436.0
Microbiology,1983-1987,30482.0
Microscopy,1983-1987,3303.0
Miscellaneous Biology,1983-1987,3179.0
Miscellaneous Biomedical Research,1983-1987,7808.0
Miscellaneous Clinical Medicine,1983-1987,5429.0
Miscellaneous Engineering & Technology,1983-1987,7597.0
Miscellaneous Humanities,1983-1987,7662.0
Miscellaneous Mathematics,1983-1987,4045.0
Miscellaneous Physics,1983-1987,1953.0
Miscellaneous Professional Field,1983-1987,2973.0
Miscellaneous Psychology,1983-1987,11794.0
Miscellaneous Social Sciences,1983-1987,6893.0
Miscellaneous Zoology,1983-1987,8292.0
Nephrology,1983-1987,5914.0
Neurology & Neurosurgery,1983-1987,68932.0
Nuclear & Particle Physics,1983-1987,39093.0
Nuclear Technology,1983-1987,14504.0
Nursing,1983-1987,2471.0
Nutrition & Dietetic,1983-1987,12356.0
Obstetrics & Gynecology,1983-1987,16595.0
Oceanography & Limnology,1983-1987,8681.0
Operations Research,1983-1987,3047.0
Ophthalmology,1983-1987,17275.0
Optics,1983-1987,22616.0
Organic Chemistry,1983-1987,48880.0
Orthopedics,1983-1987,11153.0
Otorhinolaryngology,1983-1987,12012.0
Parasitology,1983-1987,8126.0
Pathology,1983-1987,17352.0
Pediatrics,1983-1987,18726.0
Performing Arts,1983-1987,5298.0
Pharmacology,1983-1987,81189.0
Pharmacy,1983-1987,13909.0
Philosophy,1983-1987,8532.0
Physical Chemistry,1983-1987,71959.0
Physiology,1983-1987,25535.0
Planning & Urban Studies,1983-1987,1655.0
Political Science and Public Administration,1983-1987,6920.0
Polymers,1983-1987,27036.0
Probability & Statistics,1983-1987,15715.0
Psychiatry,1983-1987,18752.0
Psychoanalysis,1983-1987,1996.0
Public Health,1983-1987,4773.0
Radiology & Nuclear Medicine,1983-1987,32985.0
Rehabilitation,1983-1987,3607.0
Religion,1983-1987,5771.0
Respiratory System,1983-1987,10381.0
Science studies,1983-1987,2231.0
Social Psychology,1983-1987,8054.0
"Social Sciences, Biomedical",1983-1987,1934.0
